"ID"	"method"	"date"	"eventDate"	"NO2"	"NO2_N"	"NO3"	"NO3_N"	"PO4"	"PO4_P"	"NH4"	"NH4_N"	"equipment"	"NO2_lower_limit_of_quantification_mgL"	"NO2_upper_limit_of_quantification_mgL"	"NO3_lower_limit_of_quantification_mgL"	"NO3_upper_limit_of_quantification_mgL"	"PO4_lower_limit_of_quantification_mgL"	"PO4_upper_limit_of_quantification_mgL"	"NH4_lower_limit_of_quantification_mgL"	"NH4_upper_limit_of_quantification_mgL"
"S39"	"grab"	"2019-06-12"		0.171	0.052	7.393	1.67	0.141	0.046	0.182	0.141	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S39"	"grab"	"2019-05-01"		0.072	0.022	7.24	1.636	1.736	0.566	0.054	0.042	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S39"	"grab"	"2019-04-10"		0.063	0.019	15.29	3.454	8.54	2.785	0.048	0.037	"Photometer"	0.05	2	1	60	5	90	0.02	2.5
"S40"	"eds"	"2018-05-16"	"2018-05-16"	0.25	0.076	10	2.259	0	0	0	0	"Colorimetric Test"								
"S40"	"grab"	"2018-10-16"		0.15	0.046	0.5	0.113	0.25	0.082	0	0	"Colorimetric Test"								
"S40"	"eds"	"2018-05-30"	"2018-05-30"	0.15	0.046	25	5.648	0.75	0.245	0.5	0.388	"Colorimetric Test"								
"S40"	"eds"	"2018-06-21"	"2018-06-21"	0.25	0.076	25	5.648	0.25	0.082	0	0	"Colorimetric Test"								
"S40"	"grab"	"2018-06-06"		0.05	0.015	25	5.648	0	0	0	0	"Colorimetric Test"								
"S40"	"grab"	"2018-05-01"		0.5	0.152	0	0	0.75	0.245	0	0	"Colorimetric Test"								
"S41"	"grab"	"2018-06-05"		0.25	0.076	10	2.259	0.25	0.082	0.5	0.388	"Colorimetric Test"								
"S41"	"grab"	"2018-05-23"		0.25	0.076	10	2.259	0.25	0.082	0.5	0.388	"Colorimetric Test"								
"S41"	"grab"	"2018-05-02"		0.15	0.046	0	0	0	0	0.25	0.194	"Colorimetric Test"								
"S41"	"grab"	"2018-10-16"		0.15	0.046	10	2.259	0.25	0.082	3	2.329	"Colorimetric Test"								
"S42"	"grab"	"2018-05-02"		0	0	0	0	0	0	0	0	"Colorimetric Test"								
"S42"	"grab"	"2018-05-23"		0.05	0.015	0	0	0	0	0	0	"Colorimetric Test"								
"S42"	"grab"	"2018-06-05"		0.2	0.061	0	0	0.4	0.13	0	0	"Colorimetric Test"								
"S42"	"grab"	"2018-10-16"		0.15	0.046	5	1.129	0.5	0.163	0.75	0.582	"Colorimetric Test"								
"S43"	"grab"	"2019-06-13"		0.066	0.02	13.856	3.13	1.598	0.521	0.084	0.065	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S43"	"eds"	"2018-05-15"	"2018-05-15"	0.5	0.152	10	2.259	0.25	0.082	0.5	0.388	"Colorimetric Test"								
"S43"	"grab"	"2018-10-16"		0	0	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S43"	"grab"	"2018-05-01"		1	0.304	10	2.259	0.25	0.082	0	0	"Colorimetric Test"								
"S43"	"eds"	"2019-06-13"	"2019-06-12"	0.171	0.052	4.869	1.1	0.196	0.064	0.054	0.042	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S43"	"grab"	"2018-06-07"		0.05	0.015	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S43"	"grab"	"2019-05-23"		0.102	0.031	24.5	5.535	0.101	0.033			"Photometer"	0.05	2	1	60	1.5	15		
"S43"	"grab"	"2019-07-04"		0.039	0.012	5.356	1.21	0	0	0.053	0.041	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S43"	"grab"	"2019-05-02"		0.078	0.024	10.32	2.331	1.394	0.455	0.001	0.001	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S43"	"grab"	"2019-04-16"		0	0			2.826	0.922	1.13	0.877	"Photometer"	0.05	2			0.15	4.5	2.5	60
"S43"	"eds"	"2019-06-05"	"2019-06-03"	0.141	0.043	11.023	2.49	0.199	0.065	0.231	0.179	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S43"	"eds"	"2018-05-30"	"2018-05-30"	0.2	0.061	10	2.259	0	0	0.5	0.388	"Colorimetric Test"								
"S43"	"eds"	"2019-06-01"	"2019-05-31"	0.207	0.063	10.049	2.27	0	0	0.015	0.012	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S43"	"eds"	"2019-05-23"	"2019-05-20"	0.263	0.08	6.23	1.407	5.817	1.897	0.563	0.437	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S43"	"eds"	"2019-06-22"	"2019-06-19"	0.489	0.149	10.093	2.28	0.304	0.099	0.049	0.038	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S43"	"eds"	"2019-05-18"	"2019-05-16"	0.077	0.023	6.97	1.575	0.03	0.01	0	0	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S43"	"eds"	"2019-04-28"	"2019-04-26"	0.076	0.023	8.68	1.961	0.074	0.024	0.103	0.08	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S44"	"eds"	"2019-07-09"	"2019-07-06"	0.069	0.021	18.592	4.2	0.086	0.028	0.193	0.15	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S44"	"eds"	"2019-06-07"	"2019-06-06"	1.46	0.445	8.868	2.003	0.205	0.067	0.162	0.126	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S44"	"grab"	"2019-07-09"		1.264	0.385	22.488	5.08	0.117	0.038	0.044	0.034	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S44"	"eds"	"2019-06-13"	"2019-06-12"	0.266	0.081	24.17	5.46	0.064	0.021	0.028	0.022	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S44"	"grab"	"2019-05-02"		0.039	0.012	27.092	6.12	0.34	0.111	0.033	0.026	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S44"	"grab"	"2019-05-23"		0.046	0.014	26.693	6.03	0.098	0.032	0.055	0.043	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S44"	"grab"	"2019-04-17"		0.069	0.021	6.02	1.36	0.297	0.097	0.042	0.033	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S44"	"grab"	"2019-06-13"		0.049	0.015	26.516	5.99	0	0	0.077	0.06	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S45"	"grab"	"2019-07-09"		0.079	0.024	18.105	4.09	0.166	0.054	0.079	0.061	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S45"	"eds"	"2019-06-21"	"2019-06-20"	0.371	0.113	24.214	5.47	0.034	0.011	2.364	1.836	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S45"	"eds"	"2019-06-07"	"2019-06-06"	0.867	0.264	29.615	6.69	0.009	0.003	0.005	0.004	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S45"	"grab"	"2019-06-13"		0.122	0.037	32.802	7.41	0.025	0.008	0.153	0.119	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S45"	"grab"	"2019-04-17"		0.099	0.03	161.62	36.51	0.175	0.057	0.258	0.2	"Photometer"	0.05	2	22	155	0.15	4.5	0.02	2.5
"S45"	"grab"	"2019-05-02"		0.105	0.032	32.537	7.35	0.025	0.008	0.151	0.117	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S45"	"grab"	"2019-05-23"		0.089	0.027	34.971	7.9	0.129	0.042	0.205	0.159	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S46"	"grab"	"2018-06-06"		0	0	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S46"	"grab"	"2018-05-01"		1	0.304	10	2.259	0.5	0.163	0.5	0.388	"Colorimetric Test"								
"S46"	"grab"	"2018-10-16"		0.05	0.015	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S47"	"grab"	"2018-10-18"		0.1	0.03	5	1.129	0	0	0.25	0.194	"Colorimetric Test"								
"S47"	"grab"	"2018-06-06"		0.25	0.076	7	1.581	0	0	0.15	0.116	"Colorimetric Test"								
"S47"	"grab"	"2018-05-03"		0.15	0.046	25	5.648	0	0	0	0	"Colorimetric Test"								
"S47"	"grab"	"2018-05-24"		0.05	0.015	10	2.259	0	0	0	0	"Colorimetric Test"								
"S48"	"grab"	"2019-07-03"		0.043	0.013	3.099	0.7	1.165	0.38	2.079	1.614	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S48"	"grab"	"2019-05-06"		0.062	0.019	3.94	0.89	0.126	0.041	0.031	0.024	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S48"	"grab"	"2019-05-21"		0.026	0.008	1.771	0.4	6.194	2.02	0.024	0.019	"Photometer"	0.05	2	1	60	5	90	0.02	2.5
"S48"	"grab"	"2019-04-09"		0	0	0	0	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S48"	"grab"	"2019-06-12"		0.079	0.024	2.7	0.61	1.963	0.64	0.227	0.176	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S48"	"eds"	"2019-06-17"	"2019-06-14"	0.745	0.227	7.525	1.7	2.42	0.789	0.482	0.374	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S49"	"eds"	"2019-06-13"	"2019-06-12"	0.2	0.061	17.264	3.9	0.27	0.088	0.124	0.096	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S49"	"grab"	"2019-05-06"		0.099	0.03	14.121	3.19	0.052	0.017	0.072	0.056	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S49"	"grab"	"2019-05-08"		0.112	0.034	11.864	2.68	0	0	0.156	0.121	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S49"	"grab"	"2019-04-10"		0.089	0.027	16.689	3.77	0	0	0.108	0.084	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S49"	"grab"	"2019-07-03"		0.069	0.021	18.946	4.28	0.031	0.01	0.059	0.046	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S49"	"grab"	"2019-06-12"		0.105	0.032	17.176	3.88	0.055	0.018	0.088	0.068	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S49"	"grab"	"2019-05-21"		0.105	0.032	17.441	3.94	0.199	0.065	0.079	0.061	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S50"	"eds"	"2019-06-13"	"2019-06-12"	0.466	0.142	10.447	2.36	1.68	0.548	1.294	1.005	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S50"	"grab"	"2019-05-21"		0.082	0.025	6.95	1.57	0.163	0.053	0.116	0.09	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S50"	"grab"	"2019-07-03"		0.197	0.06	8.809	1.99	0.273	0.089	0.162	0.126	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S50"	"eds"	"2019-06-05"	"2019-06-04"	0.102	0.031	2.036	0.46	0.279	0.091	0.511	0.397	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S50"	"grab"	"2019-04-10"		0.158	0.048	16.069	3.63	0.301	0.098	0.917	0.712	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S50"	"grab"	"2019-06-12"		0.25	0.076	8.057	1.82	0.193	0.063	0.229	0.178	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S50"	"grab"	"2019-05-06"		0.108	0.033	8.544	1.93	0.181	0.059	0.107	0.083	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S51"	"grab"	"2018-05-03"		0.05	0.015	25	5.648	0	0	0	0	"Colorimetric Test"								
"S51"	"grab"	"2018-10-18"		0.25	0.076	0	0	0.25	0.082	1	0.776	"Colorimetric Test"								
"S51"	"eds"	"2018-05-22"	"2018-05-22"	0.25	0.076	15	3.388	0.25	0.082	0.3	0.233	"Colorimetric Test"								
"S51"	"grab"	"2018-05-24"		0.15	0.046	25	5.648	0	0	0	0	"Colorimetric Test"								
"S51"	"grab"	"2018-06-06"		0.05	0.015	10	2.259	0.25	0.082	0	0	"Colorimetric Test"								
"S51"	"eds"	"2018-06-04"	"2018-06-04"	0.05	0.015	10	2.259	0	0	0	0	"Colorimetric Test"								
"S52"	"grab"	"2018-03-18"		0.01	0.003	2.2	0.497	0.2	0.065	0.1	0.078	"Colorimetric Test"								
"S52"	"grab"	"2018-07-10"		0.02	0.006	1.6	0.361	1.1	0.359	0.1	0.078	"Colorimetric Test"								
"S52"	"grab"	"2018-04-17"		0.02	0.006	2.2	0.497	0.3	0.098	0.3	0.233	"Colorimetric Test"								
"S52"	"grab"	"2018-05-09"		0.03	0.009	2.5	0.565	0.3	0.098	0.1	0.078	"Colorimetric Test"								
"S52"	"grab"	"2018-07-30"		0.02	0.006	1.5	0.339	0.7	0.228			"Colorimetric Test"								
"S52"	"grab"	"2018-06-20"		0.01	0.003	2.5	0.565	0.5	0.163	0.1	0.078	"Colorimetric Test"								
"S52"	"grab"	"2018-05-29"		0.01	0.003	1.4	0.316	0.9	0.293	0.1	0.078	"Colorimetric Test"								
"S53"	"grab"	"2018-07-11"		0.01	0.003	1.6	0.361	1.2	0.391	0.1	0.078	"Colorimetric Test"								
"S53"	"grab"	"2018-05-30"		0.02	0.006	1.6	0.361	2	0.652	0.1	0.078	"Colorimetric Test"								
"S53"	"grab"	"2018-06-21"		0.02	0.006	1.7	0.384	0.8	0.261	0.1	0.078	"Colorimetric Test"								
"S53"	"grab"	"2018-07-30"		0.02	0.006	1	0.226	0.8	0.261	0.1	0.078	"Colorimetric Test"								
"S53"	"grab"	"2019-06-11"		0.125	0.038	6.286	1.42	0.178	0.058	0.09	0.07	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S53"	"eds"	"2018-07-21"	"2018-07-21"	0.02	0.006	1	0.226	2.5	0.815	0.2	0.155	"Colorimetric Test"								
"S53"	"grab"	"2019-05-20"		0.131	0.04	5.666	1.28	0.19	0.062	0.106	0.082	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S53"	"grab"	"2019-04-29"		0.085	0.026	4.737	1.07	4.6	1.5	0.093	0.072	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S53"	"grab"	"2018-04-19"		0.01	0.003	1.4	0.316	0.5	0.163	0.1	0.078	"Colorimetric Test"								
"S53"	"grab"	"2019-04-10"		0.076	0.023	3.099	0.7	0.153	0.05	0.126	0.098	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S53"	"grab"	"2018-03-20"		0.01	0.003	1.6	0.361	0.2	0.065	0.1	0.078	"Colorimetric Test"								
