"ID"	"method"	"date"	"eventDate"	"NO2"	"NO2_N"	"NO3"	"NO3_N"	"PO4"	"PO4_P"	"NH4"	"NH4_N"	"equipment"	"NO2_lower_limit_of_quantification_mgL"	"NO2_upper_limit_of_quantification_mgL"	"NO3_lower_limit_of_quantification_mgL"	"NO3_upper_limit_of_quantification_mgL"	"PO4_lower_limit_of_quantification_mgL"	"PO4_upper_limit_of_quantification_mgL"	"NH4_lower_limit_of_quantification_mgL"	"NH4_upper_limit_of_quantification_mgL"
"S80"	"eds"	"2019-06-13"	"2019-06-12"	0.437	0.133	7.924	1.79	1.622	0.529	0.224	0.174	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S80"	"grab"	"2019-06-13"		0.059	0.018	9.075	2.05	0.159	0.052	0.03	0.023	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S80"	"grab"	"2019-04-11"		0.071	0.022	11.07	2.501	0	0	0.015	0.012	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S80"	"eds"	"2019-05-22"	"2019-05-20"	0.351	0.107	12.218	2.76	1.162	0.379	0.286	0.222	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S80"	"eds"	"2019-04-28"	"2019-04-26"	0.292	0.089	15.317	3.46	1.049	0.342	0.403	0.313	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S80"	"eds"	"2019-05-18"	"2019-05-16"	0.112	0.034	8.38	1.893	0.03	0.01	0.008	0.006	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S81"	"eds"	"2019-05-03"		0.212	0.065	42.51	9.603	0.127	0.041	0.02	0.016	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S81"	"eds"	"2019-05-13"	"2019-05-11"	0.233	0.071	2.57	0.581	0.101	0.033	0.591	0.459	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S81"	"grab"	"2019-06-14"		0.148	0.045	42.275	9.55	1.362	0.444	0.117	0.091	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S81"	"grab"	"2019-07-05"		0.171	0.052	51.926	11.73	0.353	0.115	0.111	0.086	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S81"	"grab"	"2019-05-24"		0.118	0.036	46.3	10.459	0.015	0.005	0.033	0.026	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S81"	"eds"	"2019-06-14"	"2019-06-12"	0.594	0.181	12.041	2.72	1.086	0.354	0.7	0.544	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S81"	"grab"	"2019-05-03"		0.165	0.05	52.16	11.783	0	0	0.05	0.039	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S81"	"grab"	"2019-04-12"		0.171	0.052	53.4	12.063	1.515	0.494	0.03	0.023	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S81"	"eds"	"2019-05-22"	"2019-05-20"	0.302	0.092	22.78	5.146	0	0	0.199	0.155	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S82"	"grab"	"2018-06-07"		0.25	0.076	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S82"	"grab"	"2018-05-01"		0.15	0.046	10	2.259	0.25	0.082	0	0	"Colorimetric Test"								
"S82"	"eds"	"2018-05-15"	"2018-05-15"	0.15	0.046	0.25	0.056	0.25	0.082	0.25	0.194	"Colorimetric Test"								
"S83"	"grab"	"2019-05-07"		0.062	0.019	78.088	17.64	0	0	0.026	0.02	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S83"	"grab"	"2019-04-08"		0.072	0.022	51.571	11.65	0.006	0.002	0.012	0.009	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S83"	"grab"	"2019-06-11"		0.266	0.081	63.878	14.43	0.42	0.137	0.122	0.095	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S83"	"grab"	"2019-05-20"		0.095	0.029	64.055	14.47	0.077	0.025	0.035	0.027	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S83"	"eds"	"2019-06-14"	"2019-06-11"	2.745	0.836	101.549	22.94	9.006	2.937	2.395	1.86	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S83"	"grab"	"2019-07-02"		0.108	0.033	77.955	17.61	0.205	0.067	0.049	0.038	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S84"	"grab"	"2018-05-03"		0.05	0.015	0	0	0	0	0	0	"Colorimetric Test"								
"S84"	"grab"	"2018-10-15"		0	0	2	0.452	0.5	0.163	0.15	0.116	"Colorimetric Test"								
"S84"	"grab"	"2018-06-05"		0.15	0.046	0	0	0.3	0.098	0	0	"Colorimetric Test"								
"S85"	"eds"	"2018-05-24"	"2018-05-24"	0.2	0.061	10	2.259	2	0.652	3	2.329	"Colorimetric Test"								
"S85"	"grab"	"2018-05-04"		0.5	0.152	0	0	0.75	0.245	0.5	0.388	"Colorimetric Test"								
"S85"	"eds"	"2018-05-27"	"2018-05-27"	1	0.304	25	5.648	1.2	0.391	2	1.553	"Colorimetric Test"								
"S85"	"grab"	"2018-06-05"		1	0.304	0	0	0.5	0.163	0.2	0.155	"Colorimetric Test"								
"S85"	"grab"	"2018-10-15"		0.05	0.015	3	0.678	0.75	0.245	0.1	0.078	"Colorimetric Test"								
"S86"	"grab"	"2019-05-20"		0.7	0.213	8.145	1.84	0.577	0.188	2.92	2.267	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S86"	"grab"	"2019-06-11"		0.197	0.06	2.258	0.51	5.422	1.768	2.437	1.892	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S86"	"eds"	"2019-05-27"	"2019-06-21"	1.356	0.413	553.475	125.03	0.748	0.244	2.623	2.037	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S86"	"grab"	"2019-04-29"		0.256	0.078	4.914	1.11	2.34	0.763	0.474	0.368	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S86"	"grab"	"2019-04-15"		0.213	0.065	10.978	2.48	1.073	0.35	1.24	0.963	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S87"	"grab"	"2018-06-06"		0.15	0.046	0	0	0.25	0.082	0.5	0.388	"Colorimetric Test"								
"S87"	"grab"	"2018-05-02"		0.5	0.152	0	0	0.5	0.163	0.5	0.388	"Colorimetric Test"								
"S88"	"grab"	"2018-05-03"		0.05	0.015	10	2.259	0.25	0.082	0	0	"Colorimetric Test"								
"S88"	"grab"	"2018-06-12"		0.15	0.046	10	2.259	0.25	0.082	0	0	"Colorimetric Test"								
"S89"	"grab"	"2018-05-03"		0.15	0.046	5	1.129	0.25	0.082	0	0	"Colorimetric Test"								
"S89"	"grab"	"2018-06-07"		0.25	0.076	10	2.259	0.25	0.082	0.25	0.194	"Colorimetric Test"								
"S90"	"grab"	"2019-06-12"		0.144	0.044	6.375	1.44	0.021	0.007	0.035	0.027	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S90"	"grab"	"2019-04-18"		0.122	0.037	14.21	3.21	0.699	0.228	0.039	0.03	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S90"	"grab"	"2019-05-21"		0.259	0.079	8.853	2	0.163	0.053	0.046	0.036	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S90"	"grab"	"2019-04-30"		0.092	0.028	9.695	2.19	0.095	0.031	0.033	0.026	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S90"	"grab"	"2019-07-02"		0.213	0.065	9.65	2.18	0	0	0.017	0.013	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S91"	"grab"	"2018-05-23"		0.15	0.046	25	5.648	0	0	0	0	"Colorimetric Test"								
"S91"	"grab"	"2018-05-04"		0.05	0.015	25	5.648	0.25	0.082	0	0	"Colorimetric Test"								
"S91"	"grab"	"2018-06-05"		0.15	0.046	25	5.648	0.25	0.082	0	0	"Colorimetric Test"								
"S91"	"grab"	"2018-10-16"		0.15	0.046	25	5.648	0	0	0	0	"Colorimetric Test"								
"S92"	"eds"	"2019-05-15"	"2019-05-09"	0.217	0.066	6.861	1.55	0.399	0.13	0.783	0.608	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S92"	"eds"	"2019-06-12"	"2019-06-11"	0.348	0.106	5.755	1.3	0.586	0.191	0.382	0.297	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S92"	"grab"	"2019-04-11"		0.164	0.05	19.345	4.37	0.092	0.03	0.367	0.285	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S92"	"grab"	"2019-05-22"		0.079	0.024	3.63	0.82	0.245	0.08	0.122	0.095	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S92"	"grab"	"2019-06-12"		0.171	0.052	2.966	0.67	0.319	0.104	0.278	0.216	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S92"	"grab"	"2019-07-04"		0.059	0.018	1.239	0.28	0.475	0.155	0.321	0.249	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S92"	"grab"	"2019-05-01"		0.059	0.018	4.117	0.93	0.15	0.049	0.042	0.033	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S93"	"grab"	"2019-04-11"		0.082	0.025	24.657	5.57	0.251	0.082	0.095	0.074	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S93"	"grab"	"2019-07-04"		0.144	0.044	6.507	1.47	0.503	0.164	0.352	0.273	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S93"	"grab"	"2019-05-01"		0.059	0.018	17.751	4.01	0.147	0.048	0.077	0.06	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S93"	"grab"	"2019-06-13"		0.148	0.045	11.155	2.52	0.265	0.086	0.173	0.134	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S93"	"grab"	"2019-07-04"		0.144	0.044	6.507	1.47	0.503	0.164	0.352	0.273	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S93"	"grab"	"2019-05-22"		0.072	0.022	10.713	2.42	0.245	0.08	0.176	0.137	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S94"	"grab"	"2018-05-03"		0.25	0.076	50	11.295	0.25	0.082	0.25	0.194	"Colorimetric Test"								
"S94"	"grab"	"2018-05-24"		0.25	0.076	50	11.295	0.1	0.033	0	0	"Colorimetric Test"								
"S94"	"grab"	"2018-06-06"		0.15	0.046	50	11.295	0.25	0.082	0	0	"Colorimetric Test"								
"S94"	"grab"	"2018-10-17"		0.25	0.076	10	2.259	0.25	0.082	1	0.776	"Colorimetric Test"								
"S95"	"grab"	"2019-05-20"		0.039	0.012	2.169	0.49	0.08	0.026	0.082	0.064	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S95"	"grab"	"2019-05-06"		0.095	0.029	6.817	1.54	0.101	0.033	0.091	0.071	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S95"	"eds"	"2019-06-11"	"2019-06-11"	0.279	0.085	9.517	2.15	0.389	0.127	0.048	0.037	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S95"	"grab"	"2019-06-11"		0.2	0.061	8.544	1.93	0.435	0.142	0.061	0.047	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S95"	"eds"	"2019-05-21"	"2019-05-21"	0.102	0.031	4.028	0.91	0.184	0.06	0.228	0.177	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S95"	"grab"	"2019-04-09"		0.171	0.052	25.454	5.75	0.08	0.026	0.067	0.052	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S96"	"grab"	"2019-05-22"		0.105	0.032	8.189	1.85	0.163	0.053	0.185	0.144	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S96"	"grab"	"2019-06-13"		0.092	0.028	6.684	1.51	2.809	0.916	0.149	0.116	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S96"	"grab"	"2019-05-01"		0.112	0.034	8.721	1.97	4.517	1.473	0.176	0.137	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S96"	"grab"	"2019-07-04"		0.089	0.027	8.012	1.81	0.126	0.041	0.117	0.091	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S96"	"grab"	"2019-04-09"		0.115	0.035	10.181	2.3	0	0	0.24	0.186	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S97"	"grab"	"2019-04-08"		0	0	15.73	3.553	0.086	0.028	0.035	0.027	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S97"	"grab"	"2019-06-10"		0.167	0.051	14.83	3.35	0.665	0.217	0.079	0.061	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S97"	"grab"	"2019-07-01"		0.167	0.051	13.59	3.07	0.902	0.294	0.12	0.093	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S97"	"grab"	"2019-04-29"		0.253	0.077	14.3	3.23	0.497	0.162	0.239	0.186	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S97"	"grab"	"2019-05-20"		0.24	0.073	0.126	0.029	0.301	0.098	0.113	0.088	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S98"	"eds"	"2019-06-13"	"2019-06-12"	1.622	0.494	15.803	3.57	0	0	0.145	0.113	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S98"	"grab"	"2019-07-04"		0.072	0.022	12.129	2.74	0.212	0.069	0.029	0.023	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S98"	"grab"	"2018-10-17"		0.25	0.076	10	2.259	0.5	0.163	0	0	"Colorimetric Test"								
"S98"	"grab"	"2018-05-01"		0.15	0.046	10	2.259	0	0	0	0	"Colorimetric Test"								
"S98"	"eds"	"2019-05-23"	"2019-05-20"	0.095	0.029	10.01	2.261	0.221	0.072			"Photometer"	0.05	2	1	60	1.5	15		
"S98"	"eds"	"2019-06-06"	"2019-06-03"	0.906	0.276	9.827	2.22	0.58	0.189	0.345	0.268	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S98"	"eds"	"2018-06-08"	"2018-06-08"	0.5	0.152	25	5.648	0.5	0.163	0	0	"Colorimetric Test"								
"S98"	"eds"	"2019-05-29"	"2019-05-28"	0.286	0.087	37.74	8.525	0.359	0.117	0.294	0.228	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S98"	"eds"	"2019-05-18"	"2019-05-16"	0.551	0.168	11.39	2.573	0.33	0.108	1.278	0.992	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S98"	"eds"	"2019-05-13"	"2019-05-11"	0.624	0.19	7.15	1.615	0.242	0.079	0.229	0.178	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S98"	"grab"	"2019-04-12"		0.082	0.025	14.34	3.239	0.006	0.002	0.046	0.036	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S98"	"eds"	"2018-05-16"	"2018-05-16"	0.25	0.076	10	2.259	0.5	0.163	0	0	"Colorimetric Test"								
"S98"	"grab"	"2018-06-07"		0.05	0.015	10	2.259	0.5	0.163	0	0	"Colorimetric Test"								
"S98"	"grab"	"2019-05-23"		0.112	0.034	11.08	2.503	0	0			"Photometer"	0.05	2	1	60	1.5	15		
"S98"	"eds"	"2018-06-01"	"2018-06-01"	0.5	0.152	10	2.259	0.5	0.163	0	0	"Colorimetric Test"								
"S98"	"grab"	"2019-05-02"		0.083	0.025	0.4	0.09	0	0	0.042	0.033	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S98"	"grab"	"2019-06-13"		0	0	11.023	2.49	0	0	0.061	0.047	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S99"	"eds"	"2019-06-13"	"2019-06-12"	0.338	0.103	4.56	1.03	1.196	0.39	0.387	0.301	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S99"	"grab"	"2019-06-13"		0.69	0.21	8.942	2.02	1.699	0.554	1.057	0.821	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S99"	"grab"	"2019-05-23"				1.94	0.438	0	0			"Photometer"			1	60	1.5	15		
"S99"	"grab"	"2019-05-02"		0.091	0.028	1.74	0.393	0.081	0.026	0.056	0.044	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S99"	"grab"	"2019-04-11"		0.049	0.015	1.27	0.287	0	0	0.023	0.018	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S100"	"grab"	"2018-06-05"		0.15	0.046	0	0	1.5	0.489	0.25	0.194	"Colorimetric Test"								
"S100"	"grab"	"2018-05-02"		0.25	0.076	10	2.259	0.75	0.245	0	0	"Colorimetric Test"								
"S101"	"grab"	"2019-05-03"		0.081	0.025	2.91	0.657	0	0	0.067	0.052	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S101"	"eds"	"2019-06-25"	"2019-06-23"	1.1	0.335	3.497	0.79	0.163	0.053	0.08	0.062	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S101"	"eds"	"2019-05-03"		0.108	0.033	3.87	0.874	0	0	0.048	0.037	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S101"	"grab"	"2019-07-08"		0.066	0.02	1.239	0.28	0.727	0.237	0.301	0.234	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S101"	"grab"	"2019-05-24"		0.167	0.051	3.88	0.876	0.147	0.048	0.103	0.08	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S101"	"grab"	"2019-04-11"		0.059	0.018	6.33	1.43	0	0	0.061	0.047	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S101"	"grab"	"2019-06-14"		0.243	0.074	1.726	0.39	0.997	0.325	0.235	0.182	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S101"	"eds"	"2019-06-14"	"2019-06-12"	0.351	0.107	2.302	0.52	0.414	0.135	0.46	0.357	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S101"	"eds"	"2019-05-22"	"2019-05-20"	0.171	0.052	22.444	5.07	0	0	0.154	0.12	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S101"	"eds"	"2019-05-13"	"2019-05-11"	0.056	0.017	2.95	0.666	0	0	0.035	0.027	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S102"	"grab"	"2019-05-21"		0.148	0.045	27.667	6.25	0	0	0.074	0.057	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S102"	"grab"	"2019-04-30"		0.128	0.039	27.25	6.156	0.944	0.308	0.06	0.047	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S102"	"grab"	"2019-07-02"				23.904	5.4	0.193	0.063			"Photometer"			1	60	0.15	4.5		
"S102"	"grab"	"2019-04-09"		0.099	0.03	27.93	6.309	0	0	0.064	0.05	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S102"	"grab"	"2019-06-11"		0.105	0.032	26.073	5.89	0.221	0.072	0.102	0.079	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S103"	"grab"	"2018-10-15"		0.05	0.015	15	3.388	0.5	0.163	0	0	"Colorimetric Test"								
"S103"	"grab"	"2018-06-05"		0.25	0.076	0	0	3	0.978	0.2	0.155	"Colorimetric Test"								
"S103"	"grab"	"2018-05-03"		0.05	0.015	0	0	0.5	0.163	0	0	"Colorimetric Test"								
"S104"	"grab"	"2019-04-29"		0.02	0.006	2.656	0.6	0.126	0.041	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S104"	"grab"	"2019-04-16"		0.039	0.012	2.523	0.57	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S104"	"grab"	"2019-05-20"		0.043	0.013	3.32	0.75	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S104"	"grab"	"2019-07-01"		0.03	0.009	3.099	0.7	0.015	0.005	0.026	0.02	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S104"	"grab"	"2019-06-11"		0.003	0.001	2.258	0.51	0	0	0.004	0.003	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S105"	"grab"	"2018-10-16"										"Colorimetric Test"								
"S105"	"grab"	"2018-06-06"		0	0	0	0	0	0	0	0	"Colorimetric Test"								
"S105"	"eds"	"2019-05-22"	"2019-05-20"	0.388	0.118	13.86	3.131	0.288	0.094	0.131	0.102	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S105"	"eds"	"2019-06-12"	"2019-06-11"	0.076	0.023	2.523	0.57	0.212	0.069	0.227	0.176	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S105"	"grab"	"2019-04-16"		0.02	0.006	3.87	0.874	0	0	0.003	0.002	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S105"	"eds"	"2019-04-28"	"2019-04-26"	0.082	0.025	3.3	0.745	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S105"	"grab"	"2019-05-01"		0.026	0.008	3.73	0.843	0	0	0.005	0.004	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S105"	"grab"	"2018-05-01"		0	0	0	0	0	0	0	0	"Colorimetric Test"								
"S105"	"grab"	"2019-05-22"		0.023	0.007	5.68	1.283	0	0			"Photometer"	0.05	2	1	60	1.5	15		
"S105"	"grab"	"2019-07-03"				3.497	0.79	0	0			"Photometer"			1	60	0.15	4.5		
"S105"	"grab"	"2019-06-12"		0.007	0.002	1.903	0.43	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S106"	"grab"	"2019-05-24"		0.062	0.019	10.049	2.27	0	0	0.015	0.012	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S106"	"grab"	"2019-05-02"		0.059	0.018	9.739	2.2	0	0	0.028	0.022	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S106"	"grab"	"2019-04-16"		0.03	0.009	11.288	2.55	0	0	0.024	0.019	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S106"	"grab"	"2019-07-08"		0	0	10.491	2.37	0	0			"Photometer"	2	20	1	60	0.15	4.5		
"S106"	"grab"	"2019-06-14"		0.033	0.01	9.606	2.17	0.077	0.025	0.037	0.029	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S107"	"grab"	"2019-07-08"		0	0	4.515	1.02	9.225	3.008	0	0	"Photometer"	2	20	1	60	0.15	4.5	0.02	2.5
"S107"	"grab"	"2019-07-08"		0	0	4.515	1.02	9.225	3.008	0	0	"Photometer"	2	20	1	60	0.15	4.5	0.02	2.5
"S107"	"grab"	"2019-05-24"		0.056	0.017	4.869	1.1	0	0	0.017	0.013	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S107"	"grab"	"2019-06-14"		0.039	0.012	3.497	0.79	0.003	0.001	0.012	0.009	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S107"	"grab"	"2019-05-02"		0.072	0.022	4.471	1.01	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S107"	"grab"	"2019-04-16"		0.099	0.03	4.781	1.08	0	0	0.044	0.034	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S108"	"grab"	"2019-04-09"		0.059	0.018	4.12	0.931	0	0	0.028	0.022	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S108"	"eds"	"2019-05-21"	"2019-05-20"	0.693	0.211	2.169	0.49	0	0	0	0	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S108"	"eds"	"2019-06-11"		0.036	0.011	1.682	0.38	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S108"	"grab"	"2019-06-11"		0.003	0.001	2.346	0.53	0	0	0.001	0.001	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S108"	"eds"	"2019-06-04"	"2019-05-31"	0.043	0.013	2.612	0.59	0	0	0.023	0.018	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S108"	"grab"	"2019-05-21"		0.657	0.2	2.922	0.66	0	0			"Photometer"	0.05	2	1	60	1.5	15		
"S108"	"grab"	"2019-04-30"		0.032	0.01	2.48	0.56	0	0	0.018	0.014	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S108"	"grab"	"2019-07-02"				1.107	0.25	0.003	0.001			"Photometer"			1	60	0.15	4.5		
"S108"	"eds"	"2019-04-30"	"2019-04-26"	0.085	0.026	3.93	0.888	0	0	0.004	0.003	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S109"	"eds"	"2019-06-12"	"2019-06-11"	0.673	0.205	5.622	1.27	0.981	0.32	0.307	0.238	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S109"	"eds"	"2019-05-22"	"2019-05-20"	0.374	0.114	8.97	2.026	0.132	0.043	0.125	0.097	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S109"	"eds"	"2019-04-28"	"2019-04-26"	0.043	0.013	3.87	0.874	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S109"	"grab"	"2019-07-03"				4.914	1.11	0	0			"Photometer"			1	60	0.15	4.5		
"S109"	"grab"	"2019-05-22"		0.033	0.01	10.41	2.352	0	0			"Photometer"	0.05	2	1	60	1.5	15		
"S109"	"grab"	"2019-06-12"		0.742	0.226	2.258	0.51	0	0	0.006	0.005	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S109"	"grab"	"2019-05-01"		0.03	0.009	4.33	0.978	0	0	0.013	0.01	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S109"	"grab"	"2019-04-10"		0.046	0.014	4.36	0.985	0	0	0.024	0.019	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S110"	"grab"	"2018-05-30"		0.02	0.006	1	0.226	1.4	0.457	0.1	0.078	"Colorimetric Test"								
"S110"	"grab"	"2018-07-31"		0.01	0.003	1	0.226	0.5	0.163	0.1	0.078	"Colorimetric Test"								
"S110"	"grab"	"2018-06-21"		0.01	0.003	1.4	0.316	0.3	0.098	0.1	0.078	"Colorimetric Test"								
"S110"	"grab"	"2018-04-19"		0.01	0.003	1	0.226	0.7	0.228	0.1	0.078	"Colorimetric Test"								
"S110"	"grab"	"2018-07-11"		0.01	0.003	1.5	0.339	0.5	0.163	0.1	0.078	"Colorimetric Test"								
"S110"	"grab"	"2018-05-08"		0.01	0.003	1.3	0.294	0.2	0.065	0.1	0.078	"Colorimetric Test"								
"S110"	"grab"	"2018-03-20"		0.01	0.003	1.2	0.271	0.5	0.163	0.1	0.078	"Colorimetric Test"								
"S111"	"grab"	"2018-03-20"		0.01	0.003	1.3	0.294	0.4	0.13	0.1	0.078	"Colorimetric Test"								
"S111"	"grab"	"2018-07-31"		0.01	0.003	1.2	0.271	2.7	0.88	0.1	0.078	"Colorimetric Test"								
"S111"	"grab"	"2018-05-08"		0.03	0.009	2.3	0.52	0.5	0.163	0.1	0.078	"Colorimetric Test"								
