"ID"	"date"	"method"	"TP_mgL"	"TNb_mgL"	"As_ugL"	"Zn_ugL"	"Pb_ugL"	"Hg_ugL"	"Cu_ugL"	"Cd_ugL"
"S15"	"2019-05-20"	"eds"	0.358	12.5	0.7	9	0.17	0.019	9.9	0.03
"S15"	"2019-05-22"	"grab"	0.049	9.11	0	2	0	0.017	3.3	0
"S15"	"2019-07-01"	"grab"	0.018	5.81	0.7	0	0	0.004	1.3	0
"S16"	"2019-05-22"	"grab"	0.123	10.2	1.1	0	0	0.005	2.6	0
"S16"	"2019-07-01"	"grab"	0.05	6.32	2.9	2	0	0.005	1.9	0
"S16"	"2019-05-01"	"grab"	0.108	5.59	1.5	0	0	0.004	0.5	0
"S16"	"2019-06-13"	"grab"	0.138	7.86	2.1	0	0	0	1	0
"S16"	"2019-04-09"	"grab"	0.075	6.29	1.4	0	0	0	1.1	0
"S17"	"2019-04-09"	"grab"	0.059	5.1	1.3	0	0	0	0	0
"S17"	"2019-07-01"	"grab"	0.048	4.47	3	0	0	0	1.6	0
"S17"	"2019-05-20"	"eds"			1.6	6	0.3		32.1	0.05
"S17"	"2019-05-22"	"grab"	0.071	8.41	1.4	0	0	0.007	2.4	0
"S17"	"2019-05-01"	"grab"	0.17	4.8	2.1	0	0	0.002	0.9	0
"S17"	"2019-06-13"	"grab"	0.13	5.39	1.9	0	0	0	1.4	0
"S18"	"2018-05-15"	"eds"	0.477	4.41	0.7	2	0	0.004	2.7	0
"S18"	"2018-05-20"	"grab"			0.7	25	0		3.6	0
"S18"	"2018-06-06"	"eds"	0.171	9.98	1.3	0	0	0.002	1.7	0
"S18"	"2018-06-06"	"eds"	0.161	9.84	1.3	0	0	0.004	5.2	0
"S18"	"2018-10-18"	"grab"	0.071	3.28	0.8	0	0		0	0
"S18"	"2018-06-07"	"grab"	0.113	6.34	1.2	0	0	0.003	1.8	0.02
"S18"	"2018-07-02"	"eds"	0.503	9.7	1.3	3	0	0.012	3.2	0
"S18"	"2018-05-28"	"eds"	0.079	3.61	1.2	4	0	0.002	2.5	0.02
"S18"	"2018-05-03"	"grab"	0.136	10.4				0		
"S19"	"2018-06-11"	"eds"	0.323	7.91	1.4	0	0	0.012	5.2	0
"S19"	"2018-06-11"	"eds"	0.351	8.13	1.7	2	0		6.7	0
"S19"	"2018-06-05"	"eds"	0.06	9.68	1.9	0	0	0.002	2	0.03
"S19"	"2018-06-05"	"eds"	0.047	9.18	1.9	0	0		1.7	0.05
"S19"	"2018-10-18"	"grab"	0.023	1.82	1.3	0	0		0.8	0.02
"S19"	"2018-06-08"	"grab"	0.083	8.07	1.6	0	0	0	0	0.02
"S19"	"2018-07-02"	"eds"	0.514	9.67	1.4	0	0	0.013	5.4	0
"S19"	"2018-05-27"	"eds"	0.102	8.59	1.6	0	0	0.002	2.4	0
"S19"	"2018-05-02"	"grab"	0.114	9.04	1.1	16	0	0.003	3.1	0.1
"S19"	"2018-05-27"	"eds"			1.5	72	0		3	0.05
"S20"	"2019-05-20"	"eds"			1	32	0	0	11	0.02
"S20"	"2019-04-08"	"grab"	0.021	12.1	1.1	0	0	0	1.1	0
"S20"	"2019-06-14"	"grab"	0	11.6	1.3	0	0	0	1.1	0
"S20"	"2019-05-02"	"grab"	0.023	10.6	1.1	0	0	0.003	0.8	0
"S20"	"2019-07-01"	"eds"	0.577	11.2	1.6	2	0	0	7.3	0
"S20"	"2019-07-01"	"grab"	0.105	10	1.8	0	0	0.004	9.8	0
"S20"	"2019-05-23"	"grab"	0.055	11.9	1.2	0	0	0.004	1.5	0
"S21"	"2019-07-01"	"grab"	0.01	1.16	0	0	0	0.004	1.6	0
"S21"	"2019-04-30"	"grab"	0.041	2.69	0	0	0	0.003	0.5	0
"S21"	"2019-05-20"	"eds"	1.35	5.33	0	5	0.09	0.015	6.1	0
"S21"	"2019-06-12"	"grab"	0.104	3.07	0	0	0	0.004	1.6	0
"S21"	"2019-04-11"	"grab"	0.042	2.95	0	0	0	0	0.8	0
"S21"	"2019-05-21"	"grab"	0.485	5.98	0	3	0	0.035	5.6	0.03
"S22"	"2019-04-30"	"grab"	0.094	3.9	0.5	0	0	0.002	0.7	0
"S22"	"2019-05-20"	"eds"	0.44	5.18	1	5	0.09	0.027	6.2	0.02
"S22"	"2018-10-17"	"grab"	0.047	3.42	0	0	0		0	0
"S22"	"2019-05-21"	"grab"	0.434	4.92	1.1	4	0	0.026	4.3	0
"S22"	"2019-06-12"	"grab"	0.226	4.12	0	0	0	0.008	2.2	0
"S22"	"2019-05-04"	"eds"	0.94	1.38	0.7	3	0	0.007	5.7	0
"S22"	"2018-06-06"	"grab"	0.03	2.28	0.7	0	0	0	0	0
"S22"	"2019-04-11"	"grab"	0.148	4.44	0.5	0	0	0.005	0.8	0
"S22"	"2019-07-01"	"grab"	0.059	0.767	0.9	0	0	0.003	1.9	0
"S22"	"2018-05-04"	"grab"	0.13	4.36	0	0	0	0.003	0	0
"S23"	"2019-04-11"	"grab"	0.043	3.55	0	0	0	0	0	0
"S23"	"2019-06-18"	"eds"			0.6	5	0	0.005	5.6	0
"S23"	"2019-06-11"	"eds"			0	9	0.17		6	0
"S23"	"2019-05-04"	"eds"	0.158	2.43	0	16	0.31	0.007	6.4	0
"S23"	"2019-04-30"	"grab"	0.026	3.64	0	0	0	0.005	0	0
"S23"	"2019-06-12"	"grab"	0.011	4.51	0	0	0	0	1.3	0
"S23"	"2019-05-11"	"eds"	0.134	2.8	0	24	0.23	0.008	10.6	0.02
"S23"	"2019-07-01"	"grab"	0.011	3.2	0	0	0	0	1.1	0
"S23"	"2019-05-21"	"grab"	0.459	4.22	0	3	0	0.071	4.8	0.02
"S24"	"2018-10-16"	"grab"	0.048	2.72	1	0	0		0.7	0
"S24"	"2018-05-13"	"eds"	0.026	3.08				0.008		
"S24"	"2018-05-03"	"grab"	0.119	7.8	0.7	0	0	0.007	0.6	0
"S24"	"2018-05-23"	"eds"	0.119	5.12	0.8	70	0	0.005	1.9	0.03
"S24"	"2018-06-06"	"grab"	0.081	6.25	0.9	0	0	0	0	0
"S25"	"2018-05-29"	"eds"	0.589	5.26	0	0	0	0.028	3.3	0
"S25"	"2018-10-17"	"grab"	0.045	1.63	0.6	0	0		0	0
"S25"	"2018-06-06"	"grab"	0.06	1.44	0	0	0	0	0	0
"S25"	"2018-05-13"	"eds"	0.088	3.46				0.011		
"S25"	"2018-05-22"	"eds"	1.22	3.13	0	38	0	0.051	2.5	0
"S25"	"2018-05-04"	"grab"	0.108	4.51	0	0	0	0.002	1.9	0
"S26"	"2019-05-21"	"grab"	0.047	0.802	1.6	0	0	0.007	0.8	0
"S26"	"2019-04-30"	"grab"	0.048	1.5	1	0	0	0.01	1	0
"S26"	"2019-06-12"	"eds"	0.16	2.55	1.7	0	0	0.003	1.3	0.02
"S26"	"2019-04-17"	"grab"	0.023	2.93	1	0	0	0.004	1	0
"S26"	"2019-07-01"	"grab"	0.146	1.24	2.6	3	0	0	0.8	0.02
"S26"	"2019-06-12"	"grab"	0.174	1.53	1.6	0	0	0.005	0	0.02
