"ID"	"date"	"flow_velocity_ms"
"S35"	2018-07-03	0.05
"S35"	2018-10-16	0.15
"S35"	2019-04-10	0.19
"S35"	2019-05-01	0.2
"S35"	2019-05-22	0.5
"S35"	2019-06-12	0.3
"S36"	2018-04-09	0.7
"S36"	2018-05-22	0.25
"S36"	2018-07-06	0.05
"S37"	2019-04-12	0.65
"S37"	2019-05-01	0.3
"S37"	2019-05-22	0.3
"S37"	2019-06-13	0.3
"S38"	2019-04-09	0.3
"S38"	2019-05-01	0.3
"S38"	2019-05-22	0.2
"S38"	2019-06-12	0.07
"S39"	2019-04-10	0.12
"S39"	2019-05-01	0.2
"S39"	2019-05-22	0.4
"S39"	2019-06-12	0.18
"S40"	2018-04-10	0.5
"S40"	2018-05-01	0.5
"S40"	2018-05-23	0.4
"S40"	2018-06-06	0.2
"S40"	2018-07-03	0.15
"S41"	2018-04-10	0.4
"S41"	2018-05-02	0.5
"S41"	2018-05-23	0.4
"S41"	2018-07-05	0.45
"S41"	2018-10-16	0.3
"S42"	2018-04-10	0.65
"S42"	2018-05-02	0.6
"S42"	2018-05-23	0.3
"S42"	2018-07-05	0.25
"S42"	2018-10-16	0.6
"S43"	2018-04-10	0.7
"S43"	2018-05-01	0.55
"S43"	2018-05-22	0.2
"S43"	2018-06-07	0.3
"S43"	2018-07-05	0.15
"S43"	2018-10-16	0.3
"S43"	2019-04-16	0.13
"S43"	2019-05-02	0.3
"S43"	2019-05-23	0.3
"S43"	2019-06-13	0.3
"S44"	2019-04-16	0.4
"S44"	2019-05-02	0.3
"S44"	2019-05-23	0.25
"S44"	2019-06-13	0.35
"S45"	2019-04-17	0.2
"S45"	2019-05-02	0.4
"S45"	2019-05-23	0.2
"S45"	2019-06-13	0.3
"S46"	2018-04-10	0.6
"S46"	2018-05-01	0.3
"S46"	2018-05-23	0.8
"S46"	2018-06-06	0.9
"S46"	2018-07-03	0.8
"S46"	2018-10-16	0.7
"S47"	2018-04-11	0.5
"S47"	2018-05-24	0.4
"S47"	2018-07-04	0.5
"S47"	2018-10-18	0.6
"S48"	2019-04-09	0.2
"S48"	2019-05-06	0.05
"S48"	2019-05-21	0.15
"S48"	2019-06-12	0
"S49"	2019-04-10	0.35
"S49"	2019-05-06	0.35
"S49"	2019-05-21	0.35
"S49"	2019-06-12	0.3
"S50"	2019-04-10	0.4
"S50"	2019-05-06	0.5
"S50"	2019-05-21	0.3
"S50"	2019-06-12	0.5
"S51"	2018-04-11	0.5
"S51"	2018-05-03	0.4
"S51"	2018-05-24	0.2
"S51"	2018-07-04	0.4
"S51"	2018-10-18	0.12
"S52"	2018-06-20	0.3
"S52"	2018-07-10	0.17
"S53"	2018-05-30	0.15
"S53"	2018-06-21	0.2
"S53"	2018-07-11	0.4
"S53"	2018-09-11	0.06
"S53"	2019-04-10	0.25
"S53"	2019-04-29	0.25
"S53"	2019-06-11	0.1
"S53"	2019-07-01	0.03
"S54"	2018-05-29	0.2
"S54"	2018-06-20	0.38
"S54"	2018-07-10	0.1
"S54"	2018-09-10	0.27
"S55"	2018-05-29	0.25
"S55"	2018-06-20	0.29
"S55"	2018-07-10	0.4
"S55"	2018-09-10	0.24
"S56"	2018-06-21	0.25
"S56"	2018-07-11	0.24
"S56"	2018-09-11	0.16
"S56"	2019-04-08	0.3
"S56"	2019-04-29	0.2
"S56"	2019-05-21	0.6
"S56"	2019-06-11	0.04
"S56"	2019-07-01	0.03
"S57"	2019-04-08	0.25
"S57"	2019-04-29	0.35
"S57"	2019-06-11	0.36
"S57"	2019-07-01	0.2
"S58"	2018-05-30	0.25
"S58"	2018-06-21	0.25
"S58"	2018-07-11	0.44
"S58"	2018-09-11	0.18
"S58"	2019-04-08	0.4
"S58"	2019-04-29	0.25
"S58"	2019-05-21	0.36
"S58"	2019-06-11	0.4
"S58"	2019-07-01	0.25
"S59"	2018-06-20	0.4
"S59"	2018-07-10	0.36
"S59"	2018-09-10	0.17
"S59"	2019-04-10	0.25
"S59"	2019-04-29	0.2
"S59"	2019-05-20	0.23
"S59"	2019-06-12	0.3
"S59"	2019-07-03	0.3
"S60"	2018-05-29	0.3
"S60"	2018-06-20	0.4
"S60"	2018-07-10	0.2
"S60"	2018-09-10	0.13
"S60"	2019-04-09	0.3
"S60"	2019-04-29	0.2
"S60"	2019-05-20	0.17
"S60"	2019-06-12	0.15
"S60"	2019-07-03	0.2
"S61"	2019-04-08	0.12
"S61"	2019-05-02	0.4
"S61"	2019-05-23	0.35
"S61"	2019-06-14	0.2
"S62"	2018-04-09	0.25
"S62"	2018-04-30	0.19
"S62"	2018-05-23	0.08
"S62"	2018-05-24	0.06
"S62"	2018-06-13	0.08
"S62"	2018-07-04	0.05
"S62"	2018-08-02	0.027
"S63"	2018-04-09	0.7
"S63"	2018-04-30	0.63
"S63"	2018-05-23	0.45
"S63"	2018-06-14	0.095
"S63"	2018-07-05	0.09
"S63"	2018-08-02	0.12
"S63"	2019-04-09	0.38
"S63"	2019-05-01	0.3
"S63"	2019-05-22	0.8
"S63"	2019-06-13	0.1
"S64"	2018-04-09	0.6
"S64"	2018-04-30	0.36
"S64"	2018-05-23	0.06
"S64"	2018-05-24	0.045
"S64"	2018-06-13	0.07
"S64"	2018-07-05	0
"S65"	2019-04-09	0.14
"S65"	2019-05-01	0.16
"S65"	2019-05-22	0.12
"S65"	2019-06-13	0.23
"S66"	2019-04-15	0.19
"S66"	2019-04-29	0.7
"S66"	2019-05-20	0.4
"S66"	2019-06-10	0.2
"S67"	2018-04-12	0.6
"S67"	2018-05-01	0.4
"S67"	2018-05-25	0.1
"S67"	2018-06-08	0.05
"S67"	2018-07-06	0.05
"S67"	2018-10-22	0
"S68"	2018-04-12	0.17
"S68"	2018-05-25	0.12
"S68"	2018-06-15	0.075
"S69"	2018-04-12	0.45
"S69"	2018-05-25	0.4
"S69"	2018-06-08	0.4
"S69"	2018-07-06	0.4
"S69"	2018-10-22	0.25
"S70"	2019-04-08	0.35
"S70"	2019-04-29	0.7
"S70"	2019-05-20	0.2
"S70"	2019-06-10	0.14
"S71"	2018-04-12	0.7
"S71"	2018-05-01	0.6
"S71"	2018-05-25	0.7
"S71"	2018-07-06	0.2
"S71"	2018-10-22	0.15
"S72"	2018-04-12	0.25
"S72"	2018-05-24	0.045
"S73"	2018-04-09	0.35
"S73"	2018-05-01	0.35
"S73"	2018-05-22	0.2
"S73"	2018-06-05	0.1
"S73"	2018-07-02	0.05
"S73"	2018-10-15	0.05
"S74"	2018-05-01	0.4
"S74"	2018-05-29	0.09
"S74"	2018-06-05	0.35
"S74"	2018-07-02	0.3
"S74"	2018-10-24	0.2
"S74"	2019-04-03	0.25
"S74"	2019-05-21	0.19
"S74"	2019-06-11	0.2
"S75"	2019-04-11	0.12
