"siteID"	"year"	"TUmax"	"speartaxa"	"sapr"	"eptProz"	"TUmetalpeak"	"fliessgeoMean"	"Agriculture"	"area_km2"	"Gesamt"	"grabby"	"pHmean"	"pHquant9"	"NH4"	"NO2"	"NO3"	"PO4"	"TN_mgLlog"	"TP_mgLlog"	"meanO2p25"	"stream_width_m"	"water_depth_cm"	"meantempP75_nt"	"tempP75_nt"
"S21"	2019	-3.38	0.753151543187082	1.89591836734694	33.3333333333333	-0.31778833268138	0.14142135623731	11.1792044915913	8.10354	2.3	100	6.655	7.449	0.263162464962217	0.168261710182875	1.2226436492013	0.36214304958196	0.726727209026572	0.130333768495006	8.19	1.885	25.5	17.82	17.82
"S22"	2019	-3.07	0.410007387633242	2.56666666666667	7.69230769230769	-0.30948453788832	0.173562585735627	21.2553480622372	11.43847	4.7	25	6.995	7.145	0.134495855834674	0.107888025182799	1.2140433733993	0.250663919463244	0.7157131	-0.7472957	7.7875	1.595	19.75	18.5	18.5
"S23"	2019	-1.56	0.729711182497766	1.96	30.4347826086957	-0.0525426512931828	0.34086580994025	35.7964827485792	17.58809	4.2	90	6.4125	6.952	0.0638585488530716	0.119849503211518	1.22195123102176	0.244969460136198	0.642860052584492	-0.533725678210708	8.75	1.99833333333333	19.14	17.48	17.48
"S24"	2018	-1.43	0	2.28260869565217	3.33333333333333	-0.428196168014539	0.448716984537562	64.0201687864947	22.60424	4.5	25	7.87833333333333	8.325	0.232996110392154	0.301029995663981	1.61278385671974	0.255272505103306	0.874481817699466	-0.95311480916229	7.22	1.12	24	21.07	21.07
"S25"	2018	-1.77	0.569040258701719	2.13793103448276	21.875	-0.501534839699371	0.306388706280041	40.8829686761239	5.66422	2.8	40	7.68166666666667	8.16	0.301029995663981	0.213517756996305	1.41497334797082	0.602059991327962	0.690196080028514	0.0389379190386199	6.96	1.03	4	18.74	18.74
"S26"	2019	-2.45	0.644090369446652	1.98	16.6666666666667	-0.997451806200048	0.116970530909241	53.1730534645437	8.50786	4.6	65	7.932	8.24	0.136022599397011	0.063558518110981	0.900869417857547	0.661528740131982	0.406540180433955	-0.788345599446818	4.525	1.0825	13.6	18.77	18.77
"S27"	2018	-2.57	0.698177475407991	2.14736842105263	20.2380952380952	-0.655178734227749	0.320678684988597	66.2912374661832	23.75658	2.5	55	8.36857142857143	8.636	0	0.168792020314182	1.37106786227174	0.240923478794255	0.977540705946535	-0.938547520912807	7.24	1.05	15.44	17.68	17.68
"S28"	2019	-3.57	1.01272566374556	1.73571428571429	23.6842105263158	-1.131929125188	0.12589396413223	84.2437496655758	10.82037	4.6	30	7.672	7.798	0.0339060370266878	0.0354297381845483	0.835817354293473	0.385033986272011	0.241546480596548	-1.03526907894637	6.39	1.53142857142857	23.4	20.42	20.42
"S29"	2019	-2.83	0.656891561781737	2.36666666666667	8.7719298245614	-0.702347389815628	0.009306048591021	56.3312814092856	12.26082	5.8	30	7.698	8.052	0.29754166781816	0.0915614481449725	1.25916845376606	0.548806926361547	0.703635237583896	-0.711527199400217	5.35	2.95	36.75	19.77	19.77
"S30"	2019	-3.2	0.563717245202264	2.45	13.2075471698113	-0.216629685940675	0.0761350819167864	10.9265259772123	9.10429	3.8	80	7.442	7.578	0.331832044436249	0.135132651376775	1.20979373142158	0.292123103712869	0.79309160017658	-0.747146969020107	4.08	1.60571428571429	19.4166666666667	18.71	18.71
"S31"	2019	0.35	0.390361890458874	2.40416666666667	8.82352941176471	-0.625350217519875	0.259888412480159	51.4070126402023	13.08839	4.2	55	7.97	8.062	0.190387732552913	0.0636335452307847	0.864617861655226	0.130333768495006	0.517195897949974	-0.663540266151471	7.284819	1.76857142857143	19.3571428571429	18.50484	20.52
"S105"	2018	-5	1.63152952690691	1.99230769230769	58.3333333333333	-1.07753306766755	0.421028959535164	0.017032650608598	4.22475	1.4	75	7.6975	7.841	0	0	0	0	0.487421211359474	-1.03245202378114	9.18	1.88	12.5	23.6	23.6
"S105"	2019	-2.96	1.63152952690691	1.82857142857143	35	-0.402765542677192	0.121644039911468	0	4.22475	1.4	65	7.762	7.852	0.0819950252722981	0.122805462847445	1.10544205480169	0.104760166638525	0.287409	-1.28438	8.85	1.31	10.625	18.57	18.57
"S32"	2018	-1.47	0.301541145488794	2.51555555555556	5.55555555555556	0.0906507478464128	0.02	87.7674753639043	6.59358	5	40	7.85	8.32	0.176091259055681	0.249198357391113	1.25527250510331	0.224014811372864	0.580240508265376	-1.03432802877989	5.69	0.62	6	17.75	17.75
"S33"	2018	-2.62	0.783296029212191	2.18823529411765	28.5714285714286	-0.462434105782814	0.244948974278318	43.4560583111834	9.45845	4.3	45	8.105	8.525	0.230448921378274	0.0492180226701817	1.04139268515823	0.0969100130080564	0.542327382773974	-1.60205999132796	7.284819	1.11	3.5	18.50484	17.66
"S34"	2018	-1.99	0.811397754839634	2.26428571428571	21.0526315789474	-0.218560334316241	0.254572989502183	67.2234618913927	16.83751	5.6	45	7.55833333333333	8.3	0.742332282357148	0.165837624690128	1.66745295288995	0.0969100130080564	0.5219222448835	-1.20065945054642	6.9875	1.92	16	21.07	21.07
"S35"	2018	-1.83	0.869050080627883	2.08620689655172	36	0.0387884277103697	0.169521820307244	79.1885553792084	11.99413	4.7	25	8.392	8.442	0.168792020314182	0.284430733844519	1.04139268515823	0.176091259055681	1.08778141780954	0.0715138050950892	6.46	1.05	17	19.7	19.7
"S35"	2019	-1.48	0.869050080627883	2.17	27.2727272727273	-0.296252500242007	0.274769620505447	79.2293957409387	11.99413	4.7	15	8.22	8.33	0.321681263668323	0.331670190532613	1.56213101498802	0.581608366032058	0.7157131	-0.7472957	8.66	1.29	26.6666666666667	19.63	19.63
"S36"	2018	-2.38	1.02123408673971	2.10181818181818	34.7826086956522	-0.755888367135494	0.206064264990428	65.2965713287384	9.2689	3.9	100	8.005	8.382	0.0969100130080564	0.0899051114393979	1.04139268515823	0.0969100130080564	0.982813762131862	0.013427127070696	8.6775	1.117	13.5	20.11	20.11
"S37"	2019	-3.05	1.23300923372082	1.85573770491803	36.8421052631579	-0.451351956276917	0.363973093778809	41.3457490998154	16.18195	3.1	80	7.22	8.07	0.0518468383137358	0.0515383905153274	1.26201895351937	0.0856472882968565	0.752816431188271	-1.16749108729376	8.88	2.425	19.5	16.28	16.28
"S38"	2019	-1.26	0.761335493289673	2.07142857142857	19.1780821917808	-0.702198387615748	0.188405092018761	85.8339204120843	4.48709	5	50	8.06625	8.173	0.160948480864697	0.201096565039467	2.00668848096988	0.423344193632787	1.38381536598043	-0.399027104313252	9.44	1	17	16.9	16.9
"S39"	2019	-1.85	0.758491880624689	1.88529411764706	20.253164556962	-0.516160514059139	0.203885309381655	78.6737816067359	7.51192	5.1	20	8.1	8.212	0.461933503765113	0.510250018728974	1.64055695987852	1.0480492850545	1.138365863679	0.576341350205793	8.3	1.21571428571429	18.1666666666667	16.82	16.82
"S40"	2018	-1.9	0.86183094296617	1.6	27.6923076923077	0.0294415788173895	0.31291346445319	59.822457901738	16.79328	4.7	20	8.262	8.312	0.146128035678238	0.155336037465062	1.41497334797082	0.217483944213906	0.835056101720116	-0.699404516110037	8.27	1.59	17.5	18.36	18.36
"S106"	2019	-3.74	1.3931922539106	1.68793103448276	37.6811594202899	-1.70644400894871	0.426214759535436	0	32.15743	2.8	60	6.5	7.7	0.0146465246840318	0.0256335110606979	1.07806512390714	0.0196147156914172	0.491921712586151	-1.7619538968712	7.93	1.60166666666667	23	16.04	16.04
"S41"	2018	-1.58	0.695969354843338	2.27647058823529	22.5	-0.0189079719220081	0.435587717469286	69.9520413965873	16.46519	2.9	25	7.10833333333333	7.565	0.511883360978874	0.0969100130080564	1.04139268515823	0.0969100130080564	0.620760489994206	-1.12378215940836	8.2875	2.19	12	16.45	16.45
"S42"	2018	-2.39	0.739692545994928	2.22058823529412	26	-0.263553076871746	0.413553278024574	73.0225249717275	26.62108	5.2	80	7.49	8.17	0.183269843682805	0.0737183503461227	0.653212513775344	0.167317334748176	0.350635608258954	-0.906578314837765	5.7425	2.61	31	18.37	18.37
"S43"	2018	-1.74	1.03494228551093	2.09333333333333	31.3725490196078	0.0430284978907247	0.322062861877886	76.0910248838206	4.0165	5	30	8.165	8.245	0.176091259055681	0.257678574869184	1.04139268515823	0.0969100130080564	0.746478509930031	-0.893129455521346	8.69	1.25	17	16.79	16.79
